Jour;Catégorie client;Puissance moyenne journalière (W)
2025-03-03;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5031728620.0
2025-03-03;Puissance moyenne journalière de la production autres totale (W);1400870778.0
2025-03-18;Puissance moyenne journalière de la production totale (W);14597065679.0
2025-03-18;Puissance moyenne journalière de la production profilée totale (W);617999687.0
2025-03-24;Puissance moyenne journalière de la consommation totale (W);38512500713.0
2025-03-24;Puissance moyenne journalière de la consommation profilée HTA (W);9151160.0
2025-03-24;Puissance moyenne journalière de la production autres profilée (W);1444127.0
2025-04-12;Puissance moyenne journalière de la consommation profilée HTA (W);6853944.0
2025-04-12;Puissance moyenne journalière de la production autres totale (W);1441129223.0
2025-04-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);14364624611.0
2025-04-18;Puissance moyenne journalière de la production hydraulique profilée (W);1699227.0
2025-05-04;Puissance moyenne journalière de la consommation totale (W);25707849712.0
2025-05-04;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);187696612.0
2025-05-07;Puissance moyenne journalière de la consommation totale HTA (W);12206581034.0
2025-05-07;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);7669356.0
2025-05-07;Puissance moyenne journalière de la production télérelevée totale (W);9683919665.0
2025-05-07;Puissance moyenne journalière de la production cogénération profilée (W);16678.0
2025-05-07;Puissance moyenne journalière de la production autres profilée (W);1483269.0
2025-05-09;Puissance moyenne journalière de la consommation totale HTA (W);10375980102.0
2025-05-14;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);176625055.0
2025-05-27;Puissance moyenne journalière de la production télérelevée totale (W);12966582499.0
2025-05-27;Puissance moyenne journalière de la production profilée totale (W);663516662.0
2025-05-30;Puissance moyenne journalière de la consommation télérelevée HTA (W);10529348147.0
2025-05-30;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);8265239.0
2025-05-30;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3410917745.0
2025-06-06;Puissance moyenne journalière de la consommation profilée HTA (W);8535860.0
2025-06-21;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);9648375.0
2025-06-21;Puissance moyenne journalière de la consommation profilée HTA (W);7096067.0
2025-07-01;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4232327811.0
2025-07-06;Puissance moyenne journalière de la consommation télérelevée HTA (W);9160954573.0
2025-07-06;Puissance moyenne journalière de la production totale (W);9297090219.0
2025-07-06;Puissance moyenne journalière de la production autres profilée (W);1374688.0
2025-07-07;Puissance moyenne journalière de la consommation totale HTA (W);12626310409.0
2025-07-07;Puissance moyenne journalière de la production télérelevée totale (W);9585107660.0
2025-07-09;Puissance moyenne journalière de la consommation profilée HTA (W);11084399.0
2025-07-11;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);164917640.0
2025-07-22;Puissance moyenne journalière de la consommation totale HTA (W);12959899983.0
2025-07-22;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);9689741.0
2025-07-22;Puissance moyenne journalière de la production autres totale (W);1078872120.0
2025-07-30;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);9501590.0
2025-09-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);163607932.0
2025-09-02;Puissance moyenne journalière de la production cogénération totale (W);14771441.0
2025-09-04;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);11960278.0
2025-09-04;Puissance moyenne journalière de la production cogénération profilée (W);19407.0
2025-09-14;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);194250697.0
2025-09-14;Puissance moyenne journalière de la consommation profilée HTA (W);6706537.0
2025-09-14;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);2923238026.0
2025-09-14;Puissance moyenne journalière de la production cogénération totale (W);4368153.0
2025-09-16;Puissance moyenne journalière de la production télérelevée totale (W);10440841128.0
2025-09-16;Puissance moyenne journalière de la production cogénération profilée (W);21352.0
2020-09-24;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);463797.0
2020-09-24;Puissance moyenne journalière de la production cogénération totale (W);4090009.0
2020-09-24;Puissance moyenne journalière de la production autres profilée (W);2811118.0
2020-10-16;Puissance moyenne journalière de la consommation totale (W);42590433232.0
2020-10-16;Puissance moyenne journalière de la production cogénération totale (W);17910782.0
2020-10-26;Puissance moyenne journalière de la consommation totale (W);40158494383.0
2020-10-26;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);343016.0
2020-10-26;Puissance moyenne journalière de la consommation profilée HTA (W);1342708169.0
2020-10-26;Puissance moyenne journalière de la production profilée totale (W);386802958.0
2020-10-26;Puissance moyenne journalière de la production hydraulique profilée (W);10368086.0
2020-11-14;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);38031612.0
2020-11-18;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);75949037.0
2020-11-18;Puissance moyenne journalière de la consommation profilée HTA (W);1360027346.0
2020-11-18;Puissance moyenne journalière de la production profilée totale (W);407070543.0
2020-11-18;Puissance moyenne journalière de la production cogénération profilée (W);667525.0
2020-11-19;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);18149764362.0
2020-11-19;Puissance moyenne journalière de la production télérelevée totale (W);9341236274.0
2020-11-19;Puissance moyenne journalière de la production autres totale (W);1301020554.0
2020-11-25;Puissance moyenne journalière de la consommation télérelevée HTA (W);12458696806.0
2020-11-25;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);551330.0
2020-11-25;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);21932833385.0
2020-11-25;Puissance moyenne journalière de la production télérelevée totale (W);6911336404.0
2020-11-25;Puissance moyenne journalière de la production cogénération totale (W);1522645273.0
2020-11-25;Puissance moyenne journalière de la production hydraulique profilée (W);9170806.0
2020-12-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);616736.0
2020-12-02;Puissance moyenne journalière de la consommation profilée HTA (W);1618240038.0
2020-12-03;Puissance moyenne journalière de la consommation totale (W);51213840719.0
2020-12-11;Puissance moyenne journalière de la production cogénération profilée (W);853916.0
2020-12-12;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);605984.0
2020-12-12;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);4807202985.0
2020-12-12;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);24911084625.0
2020-12-12;Puissance moyenne journalière de la production profilée totale (W);221647207.0
2020-12-31;Puissance moyenne journalière de la consommation totale (W);50520621255.0
2020-12-31;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);52154851.0
2020-12-31;Puissance moyenne journalière de la production hydraulique profilée (W);10493910.0
2021-01-08;Puissance moyenne journalière de la consommation totale (W);60581390265.0
2021-01-08;Puissance moyenne journalière de la consommation télérelevée HTA (W);13918317513.0
2021-01-08;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);32248113255.0
2021-01-08;Puissance moyenne journalière de la production cogénération profilée (W);251253.0
2021-02-13;Puissance moyenne journalière de la consommation totale HTA (W);11068438780.0
2021-02-13;Puissance moyenne journalière de la production profilée totale (W);276152952.0
2021-02-15;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);151058715.0
2021-02-15;Puissance moyenne journalière de la production profilée totale (W);307559689.0
2021-02-15;Puissance moyenne journalière de la production hydraulique profilée (W);6120863.0
2021-02-16;Puissance moyenne journalière de la production cogénération totale (W);1706555260.0
2021-03-03;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);755406.0
2021-03-03;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);104619667.0
2021-03-31;Puissance moyenne journalière de la consommation télérelevée HTA (W);12843926870.0
2021-03-31;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3903707626.0
2021-04-06;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2229312086.0
2021-04-06;Puissance moyenne journalière de la consommation profilée HTA (W);326947791.0
2021-04-06;Puissance moyenne journalière de la production télérelevée totale (W);7310615548.0
2021-04-06;Puissance moyenne journalière de la production autres totale (W);1399705422.0
2021-04-08;Puissance moyenne journalière de la production télérelevée totale (W);3552604263.0
2021-04-11;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1546862317.0
2021-04-11;Puissance moyenne journalière de la consommation profilée HTA (W);267050333.0
2021-04-11;Puissance moyenne journalière de la production hydraulique profilée (W);3987666.0
2021-04-19;Puissance moyenne journalière de la consommation profilée HTA (W);305777015.0
2021-04-20;Puissance moyenne journalière de la consommation télérelevée HTA (W);12758005589.0
2021-04-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);16936722513.0
2021-04-22;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);1309092.0
2021-04-22;Puissance moyenne journalière de la production profilée totale (W);800695212.0
2021-04-22;Puissance moyenne journalière de la production cogénération totale (W);29681925.0
2021-05-01;Puissance moyenne journalière de la consommation totale HTA (W);8350342306.0
2021-05-01;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1445418899.0
2021-05-01;Puissance moyenne journalière de la production totale (W);4352975783.0
2021-05-01;Puissance moyenne journalière de la production autres totale (W);1468972470.0
2021-05-04;Puissance moyenne journalière de la consommation profilée HTA (W);286369384.0
2021-05-04;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4150851947.0
2021-05-04;Puissance moyenne journalière de la production totale (W);13044172991.0
2021-05-14;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1691148479.0
2021-05-14;Puissance moyenne journalière de la production cogénération totale (W);6403332.0
2021-05-23;Puissance moyenne journalière de la consommation profilée HTA (W);219958531.0
2021-05-23;Puissance moyenne journalière de la production totale (W);8995141496.0
2021-05-23;Puissance moyenne journalière de la production autres profilée (W);2122426.0
2021-06-13;Puissance moyenne journalière de la consommation totale (W);27380106773.0
2021-06-13;Puissance moyenne journalière de la production cogénération totale (W);12187073.0
2021-06-13;Puissance moyenne journalière de la production hydraulique profilée (W);6286356.0
2021-06-15;Puissance moyenne journalière de la consommation profilée HTA (W);283339767.0
2021-06-15;Puissance moyenne journalière de la production cogénération profilée (W);22099.0
2021-06-18;Puissance moyenne journalière de la consommation totale (W);33636799772.0
2021-06-18;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2121464225.0
2021-06-18;Puissance moyenne journalière de la production cogénération totale (W);10700907.0
2021-06-23;Puissance moyenne journalière de la consommation télérelevée HTA (W);13221841424.0
2021-06-23;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3646029849.0
2021-06-23;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11177529492.0
2021-06-26;Puissance moyenne journalière de la consommation totale (W);28610814418.0
2021-07-06;Puissance moyenne journalière de la consommation totale HTA (W);13651737247.0
2021-07-19;Puissance moyenne journalière de la consommation totale HTA (W);13412780207.0
2021-07-19;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11393860233.0
2021-07-20;Puissance moyenne journalière de la consommation profilée HTA (W);289037128.0
2021-07-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3981111665.0
2021-07-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11297167262.0
2021-07-20;Puissance moyenne journalière de la production autres totale (W);1326112882.0
2021-07-20;Puissance moyenne journalière de la production autres profilée (W);2593960.0
2021-08-09;Puissance moyenne journalière de la consommation totale (W);28983480087.0
2021-08-09;Puissance moyenne journalière de la production totale (W);6159893237.0
2021-08-09;Puissance moyenne journalière de la production profilée totale (W);683864344.0
2021-08-09;Puissance moyenne journalière de la production cogénération totale (W);8001289.0
2021-08-15;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);67868270.0
2021-08-15;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2061766869.0
2021-08-22;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11428272810.0
2021-08-22;Puissance moyenne journalière de la production hydraulique profilée (W);4109281.0
2021-08-25;Puissance moyenne journalière de la consommation totale (W);32444100134.0
2021-08-25;Puissance moyenne journalière de la production cogénération totale (W);9303770.0
2021-10-07;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4348679086.0
2021-10-07;Puissance moyenne journalière de la production télérelevée totale (W);4123582904.0
2021-10-07;Puissance moyenne journalière de la production hydraulique profilée (W);2050136.0
2021-10-09;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3883510858.0
2021-10-09;Puissance moyenne journalière de la production profilée totale (W);503499505.0
2021-10-13;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);4268147.0
2021-10-14;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);15044699582.0
2021-10-14;Puissance moyenne journalière de la production profilée totale (W);608609163.0
2021-10-17;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1573961463.0
2021-10-17;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3713489441.0
2021-10-27;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);4700574.0
2021-10-27;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);119534254.0
2021-10-27;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);15732869465.0
2021-10-27;Puissance moyenne journalière de la production cogénération totale (W);85432432.0
2021-11-13;Puissance moyenne journalière de la consommation télérelevée HTA (W);9730280596.0
2021-11-13;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);19677669628.0
2021-11-13;Puissance moyenne journalière de la production totale (W);6361073709.0
2021-11-18;Puissance moyenne journalière de la consommation télérelevée HTA (W);14071104796.0
2021-11-18;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3699149484.0
2021-11-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5562830567.0
2021-11-18;Puissance moyenne journalière de la production autres totale (W);1108847846.0
2021-11-18;Puissance moyenne journalière de la production autres profilée (W);2246608.0
2021-12-02;Puissance moyenne journalière de la consommation télérelevée HTA (W);14646211865.0
2021-12-02;Puissance moyenne journalière de la production hydraulique profilée (W);5659238.0
2021-12-28;Puissance moyenne journalière de la production profilée totale (W);84407810.0
2021-12-28;Puissance moyenne journalière de la production autres totale (W);1545130757.0
2022-01-13;Puissance moyenne journalière de la consommation totale HTA (W);15127481167.0
2022-01-13;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);6353962.0
2022-01-13;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);276390872.0
2022-01-13;Puissance moyenne journalière de la production cogénération totale (W);1685663960.0
2022-01-13;Puissance moyenne journalière de la production autres totale (W);1532675510.0
2022-01-13;Puissance moyenne journalière de la production autres profilée (W);2146624.0
2022-01-16;Puissance moyenne journalière de la consommation profilée HTA (W);305797205.0
2022-01-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5733686238.0
2022-01-16;Puissance moyenne journalière de la production profilée totale (W);267077181.0
2022-01-28;Puissance moyenne journalière de la production télérelevée totale (W);5853927607.0
2022-01-28;Puissance moyenne journalière de la production hydraulique profilée (W);6017371.0
2022-02-08;Puissance moyenne journalière de la production autres profilée (W);1963996.0
2022-02-09;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2708536224.0
2022-02-09;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);3708530465.0
2022-02-09;Puissance moyenne journalière de la production hydraulique profilée (W);6256030.0
2022-02-09;Puissance moyenne journalière de la production autres profilée (W);1957515.0
2022-02-27;Puissance moyenne journalière de la production totale (W);11092904722.0
2022-03-04;Puissance moyenne journalière de la consommation télérelevée HTA (W);13327309818.0
2022-03-04;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5415832381.0
2022-03-04;Puissance moyenne journalière de la production télérelevée totale (W);6515970846.0
2022-03-04;Puissance moyenne journalière de la production cogénération totale (W);1843001781.0
2022-04-01;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);227771211.0
2022-04-01;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);23253792948.0
2022-04-01;Puissance moyenne journalière de la production autres totale (W);1447438239.0
2022-04-01;Puissance moyenne journalière de la production cogénération profilée (W);88715.0
2022-04-01;Puissance moyenne journalière de la production hydraulique profilée (W);7078787.0
2022-04-01;Puissance moyenne journalière de la production autres profilée (W);2481010.0
2022-04-11;Puissance moyenne journalière de la consommation télérelevée HTA (W);12730798639.0
2022-04-17;Puissance moyenne journalière de la consommation totale (W);28473857724.0
2022-04-17;Puissance moyenne journalière de la consommation télérelevée HTA (W);8367978624.0
2022-04-29;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4022553810.0
2022-04-29;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);12589163714.0
2022-04-29;Puissance moyenne journalière de la production cogénération totale (W);210775767.0
2022-05-07;Puissance moyenne journalière de la consommation totale HTA (W);9589592804.0
2022-05-07;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);113513514.0
2022-05-07;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3550994763.0
2022-05-07;Puissance moyenne journalière de la production cogénération totale (W);98628623.0
2022-05-11;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2146763625.0
2022-05-11;Puissance moyenne journalière de la consommation profilée HTA (W);277413430.0
2022-05-11;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11010841707.0
2022-05-11;Puissance moyenne journalière de la production autres profilée (W);1758829.0
2022-05-17;Puissance moyenne journalière de la consommation télérelevée HTA (W);13575406972.0
2022-05-17;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2240614834.0
2022-06-16;Puissance moyenne journalière de la consommation totale (W);35516081021.0
2022-06-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4139854201.0
2022-06-16;Puissance moyenne journalière de la production hydraulique profilée (W);4547797.0
2022-06-16;Puissance moyenne journalière de la production autres profilée (W);1920563.0
2022-06-17;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4234339167.0
2022-07-08;Puissance moyenne journalière de la consommation totale HTA (W);13685915262.0
2022-07-20;Puissance moyenne journalière de la consommation télérelevée HTA (W);14145151410.0
2022-07-20;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2763747.0
2022-07-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4150633006.0
2022-08-08;Puissance moyenne journalière de la consommation profilée HTA (W);277934423.0
2022-08-11;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2969675.0
2022-08-11;Puissance moyenne journalière de la consommation profilée HTA (W);279702288.0
2022-08-11;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2820789374.0
2022-08-11;Puissance moyenne journalière de la production cogénération profilée (W);8618.0
2022-08-14;Puissance moyenne journalière de la consommation totale HTA (W);8551119044.0
2022-08-14;Puissance moyenne journalière de la production totale (W);5323138359.0
2022-08-14;Puissance moyenne journalière de la production profilée totale (W);485063549.0
2022-08-17;Puissance moyenne journalière de la production autres totale (W);907282819.0
2022-08-18;Puissance moyenne journalière de la consommation télérelevée HTA (W);11280280867.0
2022-08-18;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);1971784668.0
2022-08-18;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);2974420.0
2022-08-18;Puissance moyenne journalière de la production totale (W);4718106012.0
2022-08-18;Puissance moyenne journalière de la production autres profilée (W);2488042.0
2022-08-26;Puissance moyenne journalière de la production hydraulique profilée (W);1037220.0
2022-09-05;Puissance moyenne journalière de la consommation totale HTA (W);13336810473.0
2022-09-13;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);3885780.0
2022-09-13;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3908772463.0
2022-09-13;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10340804016.0
2022-09-27;Puissance moyenne journalière de la production totale (W);9205362094.0
2022-10-10;Puissance moyenne journalière de la consommation totale (W);32749514599.0
2022-10-10;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2079175328.0
2022-10-12;Puissance moyenne journalière de la consommation télérelevée HTA (W);12878137393.0
2022-10-16;Puissance moyenne journalière de la consommation profilée HTA (W);189764439.0
2022-10-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);12090196276.0
2022-10-18;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2600411169.0
2022-10-18;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10842696902.0
2022-10-18;Puissance moyenne journalière de la production télérelevée totale (W);4318378254.0
2022-10-18;Puissance moyenne journalière de la production autres profilée (W);2636683.0
2022-10-19;Puissance moyenne journalière de la consommation télérelevée HTA (W);12885835673.0
2022-10-19;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2063615714.0
2022-10-19;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);122064790.0
2022-10-19;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2567756156.0
2022-10-19;Puissance moyenne journalière de la production télérelevée totale (W);7486910156.0
2022-10-29;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);121816937.0
2022-10-29;Puissance moyenne journalière de la consommation profilée HTA (W);194346128.0
2022-10-29;Puissance moyenne journalière de la production cogénération totale (W);94186251.0
2022-10-30;Puissance moyenne journalière de la consommation télérelevée HTA (W);8023378363.0
2022-11-10;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5321038.0
2022-11-10;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4450981849.0
2022-11-10;Puissance moyenne journalière de la production totale (W);6496140110.0
2022-11-10;Puissance moyenne journalière de la production profilée totale (W);394151457.0
2022-11-16;Puissance moyenne journalière de la consommation télérelevée HTA (W);12944147452.0
2022-11-17;Puissance moyenne journalière de la production autres profilée (W);1880281.0
2022-11-19;Puissance moyenne journalière de la consommation totale (W);37283668696.0
2022-11-19;Puissance moyenne journalière de la production profilée totale (W);320048276.0
2022-11-23;Puissance moyenne journalière de la consommation totale (W);44060758899.0
2022-11-23;Puissance moyenne journalière de la consommation totale HTA (W);13645969655.0
2022-11-23;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2489622185.0
2022-11-23;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5728863.0
2022-12-02;Puissance moyenne journalière de la consommation totale HTA (W);13563688739.0
2022-12-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);6669748.0
2022-12-02;Puissance moyenne journalière de la production autres totale (W);1397771305.0
2022-12-03;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);6368097.0
2022-12-03;Puissance moyenne journalière de la production autres totale (W);1323257955.0
2022-12-07;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);5977544808.0
2022-12-07;Puissance moyenne journalière de la production télérelevée totale (W);5322850423.0
2022-12-07;Puissance moyenne journalière de la production profilée totale (W);279940240.0
2022-12-07;Puissance moyenne journalière de la production autres totale (W);1290475419.0
2022-12-09;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);2838496710.0
2022-12-09;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);6172037882.0
2022-12-22;Puissance moyenne journalière de la consommation télérelevée HTA (W);11820019839.0
2022-12-30;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2938886392.0
2022-12-30;Puissance moyenne journalière de la production profilée totale (W);110434960.0
2022-12-30;Puissance moyenne journalière de la production cogénération profilée (W);328694.0
2023-01-04;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5425166.0
2023-01-04;Puissance moyenne journalière de la production autres totale (W);1567400915.0
2023-01-08;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);5000443.0
2023-01-08;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4128571543.0
2023-01-12;Puissance moyenne journalière de la consommation totale HTA (W);13583156635.0
2023-01-12;Puissance moyenne journalière de la consommation profilée HTA (W);6467464.0
